SELECT FIRST_NAME, SYSDATE(), HIRE_DATE, DATEDIFF( SYSDATE(), hire_date )/365
    ->   FROM employees;
+-------------+---------------------+------------+--------------------------------------+
| FIRST_NAME  | SYSDATE()           | HIRE_DATE  | DATEDIFF( SYSDATE(), hire_date )/365 |
+-------------+---------------------+------------+--------------------------------------+
| Steven      | 2021-01-23 13:03:07 | 1987-06-27 |                              33.6000 |
| Neena       | 2021-01-23 13:03:07 | 1989-09-21 |                              31.3616 |
| Lex         | 2021-01-23 13:03:07 | 1993-01-13 |                              28.0466 |
| Alexander   | 2021-01-23 13:03:07 | 1990-01-03 |                              31.0767 |
| Bruce       | 2021-01-23 13:03:07 | 1991-05-21 |                              29.6986 |
| David       | 2021-01-23 13:03:07 | 1997-06-25 |                              23.5973 |
| Valli       | 2021-01-23 13:03:07 | 1998-02-05 |                              22.9808 |
| Diana       | 2021-01-23 13:03:07 | 1999-02-07 |                              21.9753 |
| Nancy       | 2021-01-23 13:03:07 | 1994-08-17 |                              26.4548 |
| Daniel      | 2021-01-23 13:03:07 | 1994-07-16 |                              26.5425 |
| John        | 2021-01-23 13:03:07 | 1997-09-28 |                              23.3370 |
| Ismael      | 2021-01-23 13:03:07 | 1997-08-30 |                              23.4164 |
| Jose Manuel | 2021-01-23 13:03:07 | 1998-03-07 |                              22.8986 |
| Luis        | 2021-01-23 13:03:07 | 1999-12-07 |                              21.1452 |
| Den         | 2021-01-23 13:03:07 | 1994-12-07 |                              26.1479 |
| Alexander   | 2021-01-23 13:03:07 | 1995-05-18 |                              25.7041 |
| Shelli      | 2021-01-23 13:03:07 | 1997-12-24 |                              23.0986 |
| Sigal       | 2021-01-23 13:03:07 | 1997-07-24 |                              23.5178 |
| Guy         | 2021-01-23 13:03:07 | 1998-11-15 |                              22.2055 |
| Karen       | 2021-01-23 13:03:07 | 1999-08-10 |                              21.4712 |
| Matthew     | 2021-01-23 13:03:07 | 1996-07-18 |                              24.5342 |
| Adam        | 2021-01-23 13:03:07 | 1997-04-10 |                              23.8055 |
| Payam       | 2021-01-23 13:03:07 | 1995-05-01 |                              25.7507 |
| Shanta      | 2021-01-23 13:03:07 | 1997-10-10 |                              23.3041 |
| Kevin       | 2021-01-23 13:03:07 | 1999-11-16 |                              21.2027 |
| Julia       | 2021-01-23 13:03:07 | 1997-07-16 |                              23.5397 |
| Irene       | 2021-01-23 13:03:07 | 1998-09-28 |                              22.3370 |
| James       | 2021-01-23 13:03:07 | 1999-01-14 |                              22.0411 |
| Steven      | 2021-01-23 13:03:07 | 2000-03-08 |                              20.8932 |
| Laura       | 2021-01-23 13:03:07 | 1997-08-20 |                              23.4438 |
| Mozhe       | 2021-01-23 13:03:07 | 1997-10-30 |                              23.2493 |
| James       | 2021-01-23 13:03:07 | 1997-02-16 |                              23.9507 |
| TJ          | 2021-01-23 13:03:07 | 1999-04-10 |                              21.8055 |
| Jason       | 2021-01-23 13:03:07 | 1996-06-14 |                              24.6274 |
| Michael     | 2021-01-23 13:03:07 | 1998-08-26 |                              22.4274 |
| Ki          | 2021-01-23 13:03:07 | 1999-12-12 |                              21.1315 |
| Hazel       | 2021-01-23 13:03:07 | 2000-02-06 |                              20.9781 |
| Renske      | 2021-01-23 13:03:07 | 1995-07-14 |                              25.5479 |
| Stephen     | 2021-01-23 13:03:07 | 1997-10-26 |                              23.2603 |
| John        | 2021-01-23 13:03:07 | 1998-02-12 |                              22.9616 |
| Joshua      | 2021-01-23 13:03:07 | 1998-04-06 |                              22.8164 |
| Trenna      | 2021-01-23 13:03:07 | 1995-10-17 |                              25.2877 |
| Curtis      | 2021-01-23 13:03:07 | 1997-01-29 |                              24.0000 |
| Randall     | 2021-01-23 13:03:07 | 1998-03-15 |                              22.8767 |
| Peter       | 2021-01-23 13:03:07 | 1998-07-09 |                              22.5589 |
| John        | 2021-01-23 13:03:07 | 1996-10-01 |                              24.3288 |
| Karen       | 2021-01-23 13:03:07 | 1997-01-05 |                              24.0658 |
| Alberto     | 2021-01-23 13:03:07 | 1997-03-10 |                              23.8904 |
| Gerald      | 2021-01-23 13:03:07 | 1999-10-15 |                              21.2904 |
| Eleni       | 2021-01-23 13:03:07 | 2000-01-29 |                              21.0000 |
| Peter       | 2021-01-23 13:03:07 | 1997-01-30 |                              23.9973 |
| David       | 2021-01-23 13:03:07 | 1997-03-24 |                              23.8521 |
| Peter       | 2021-01-23 13:03:07 | 1997-08-20 |                              23.4438 |
| Christopher | 2021-01-23 13:03:07 | 1998-03-30 |                              22.8356 |
| Nanette     | 2021-01-23 13:03:07 | 1998-12-09 |                              22.1397 |
| Oliver      | 2021-01-23 13:03:07 | 1999-11-23 |                              21.1836 |
| Janette     | 2021-01-23 13:03:07 | 1996-01-30 |                              25.0000 |
| Patrick     | 2021-01-23 13:03:07 | 1996-03-04 |                              24.9068 |
| Allan       | 2021-01-23 13:03:07 | 1996-07-01 |                              24.5808 |
| Lindsey     | 2021-01-23 13:03:07 | 1997-03-10 |                              23.8904 |
| Louise      | 2021-01-23 13:03:07 | 1997-12-15 |                              23.1233 |
| Sarath      | 2021-01-23 13:03:07 | 1998-11-03 |                              22.2384 |
| Clara       | 2021-01-23 13:03:07 | 1997-11-11 |                              23.2164 |
| Danielle    | 2021-01-23 13:03:07 | 1999-03-19 |                              21.8658 |
| Mattea      | 2021-01-23 13:03:07 | 2000-01-24 |                              21.0137 |
| David       | 2021-01-23 13:03:07 | 2000-02-23 |                              20.9315 |
| Sundar      | 2021-01-23 13:03:07 | 2000-03-24 |                              20.8493 |
| Amit        | 2021-01-23 13:03:07 | 2000-04-21 |                              20.7726 |
| Lisa        | 2021-01-23 13:03:07 | 1997-03-11 |                              23.8877 |
| Harrison    | 2021-01-23 13:03:07 | 1998-03-23 |                              22.8548 |
| Tayler      | 2021-01-23 13:03:07 | 1998-01-24 |                              23.0137 |
| William     | 2021-01-23 13:03:07 | 1999-02-23 |                              21.9315 |
| Elizabeth   | 2021-01-23 13:03:07 | 1999-03-24 |                              21.8521 |
| Sundita     | 2021-01-23 13:03:07 | 2000-04-21 |                              20.7726 |
| Ellen       | 2021-01-23 13:03:07 | 1996-05-11 |                              24.7205 |
| Alyssa      | 2021-01-23 13:03:07 | 1997-03-19 |                              23.8658 |
| Jonathon    | 2021-01-23 13:03:07 | 1998-03-24 |                              22.8521 |
| Jack        | 2021-01-23 13:03:07 | 1998-04-23 |                              22.7699 |
| Kimberely   | 2021-01-23 13:03:07 | 1999-05-24 |                              21.6849 |
| Charles     | 2021-01-23 13:03:07 | 2000-01-04 |                              21.0685 |
| Winston     | 2021-01-23 13:03:07 | 1998-01-24 |                              23.0137 |
| Jean        | 2021-01-23 13:03:07 | 1998-02-23 |                              22.9315 |
| Martha      | 2021-01-23 13:03:07 | 1999-06-21 |                              21.6082 |
| Girard      | 2021-01-23 13:03:07 | 2000-02-03 |                              20.9863 |
| Nandita     | 2021-01-23 13:03:07 | 1996-01-27 |                              25.0082 |
| Alexis      | 2021-01-23 13:03:07 | 1997-02-20 |                              23.9397 |
| Julia       | 2021-01-23 13:03:07 | 1998-06-24 |                              22.6000 |
| Anthony     | 2021-01-23 13:03:07 | 1999-02-07 |                              21.9753 |
| Kelly       | 2021-01-23 13:03:07 | 1997-06-14 |                              23.6274 |
| Jennifer    | 2021-01-23 13:03:07 | 1997-07-13 |                              23.5479 |
| Timothy     | 2021-01-23 13:03:07 | 1998-07-11 |                              22.5534 |
| Randall     | 2021-01-23 13:03:07 | 1999-12-19 |                              21.1123 |
| Sarah       | 2021-01-23 13:03:07 | 1996-02-04 |                              24.9863 |
| Britney     | 2021-01-23 13:03:07 | 1997-03-03 |                              23.9096 |
| Samuel      | 2021-01-23 13:03:07 | 1998-06-01 |                              22.6630 |
| Vance       | 2021-01-23 13:03:07 | 1999-03-17 |                              21.8712 |
| Alana       | 2021-01-23 13:03:07 | 1998-04-24 |                              22.7671 |
| Kevin       | 2021-01-23 13:03:07 | 1998-05-23 |                              22.6877 |
| Donald      | 2021-01-23 13:03:07 | 1999-06-21 |                              21.6082 |
| Douglas     | 2021-01-23 13:03:07 | 2000-01-13 |                              21.0438 |
| Jennifer    | 2021-01-23 13:03:07 | 1987-09-17 |                              33.3753 |
| Michael     | 2021-01-23 13:03:07 | 1996-02-17 |                              24.9507 |
| Pat         | 2021-01-23 13:03:07 | 1997-07-17 |                              23.5370 |
| Susan       | 2021-01-23 13:03:07 | 1994-06-07 |                              26.6493 |
| Hermann     | 2021-01-23 13:03:07 | 1994-06-07 |                              26.6493 |
| Shelley     | 2021-01-23 13:03:07 | 1994-06-07 |                              26.6493 |
| William     | 2021-01-23 13:03:07 | 1994-06-07 |                              26.6493 |
| bhagi       | 2021-01-23 13:03:07 | 1989-09-21 |                              31.3616 |
+-------------+---------------------+------------+--------------------------------------+
108 rows in set (0.14 sec)

8.select curdate - hire_date('01-jan-1995') from employees;
